"","Date","HomeTeam","AwayTeam","result","HomeTeam_elo","AwayTeam_elo"
"192","30/01/2021","Sampdoria","Juventus",0,1605.10704349848,1827.28948139955
"193","30/01/2021","Inter","Benevento",1,1845.5403465779,1567.06640709498
"194","31/01/2021","Spezia","Udinese",0,1511.04920372287,1575.74413570349
"195","31/01/2021","Atalanta","Lazio",0,1811.58583059938,1737.39058291122
"196","31/01/2021","Cagliari","Sassuolo",0.5,1537.02348453538,1653.8502276827
"197","31/01/2021","Crotone","Genoa",0,1476.50096746501,1551.91854307764
"198","31/01/2021","Napoli","Parma",1,1745.06029358349,1537.68855658972
"199","31/01/2021","Roma","Verona",1,1766.35332446505,1600.71301833866
"200","05/02/2021","Fiorentina","Inter",0,1617.53869995232,1848.89153206188
"201","06/02/2021","Atalanta","Torino",0.5,1799.4822009299,1558.92643981184
"202","06/02/2021","Sassuolo","Spezia",0,1650.60893384009,1502.89004669146
"203","06/02/2021","Juventus","Roma",1,1831.64394263112,1771.91694520704
"204","06/02/2021","Genoa","Napoli",1,1559.78131385643,1749.71215172236
"205","07/02/2021","Benevento","Sampdoria",0.5,1563.71522161101,1600.75258226691
"206","07/02/2021","Milan","Crotone",1,1803.17033690824,1468.63819668622
"207","07/02/2021","Udinese","Verona",1,1583.9032927349,1595.14939759667
"208","07/02/2021","Parma","Bologna",0,1533.03669845084,1571.48307608207
"209","07/02/2021","Lazio","Cagliari",1,1749.4942125807,1540.26477837799
"210","12/02/2021","Bologna","Benevento",0.5,1580.38099507722,1564.77722272462
"211","13/02/2021","Torino","Genoa",0.5,1564.92149644402,1574.761478337
"212","13/02/2021","Napoli","Juventus",1,1734.7319872418,1839.94159796861
"213","13/02/2021","Spezia","Milan",1,1516.90280863647,1805.71483428813
"214","14/02/2021","Roma","Udinese",1,1763.61928986955,1594.22686865204
"215","14/02/2021","Cagliari","Atalanta",0,1535.65098636146,1793.48714429773
"216","14/02/2021","Sampdoria","Fiorentina",1,1599.69058115329,1613.36137828297
"217","14/02/2021","Crotone","Sassuolo",0,1466.09369930633,1636.59617189508
"218","14/02/2021","Inter","Lazio",1,1853.06885373123,1754.10800459723
"219","15/02/2021","Verona","Parma",1,1584.82582167953,1524.1387794557
"220","19/02/2021","Fiorentina","Spezia",1,1602.96810405236,1533.71437047587
"221","19/02/2021","Cagliari","Torino",0,1531.9551819346,1565.20463818868
"222","20/02/2021","Lazio","Sampdoria",1,1746.8817194538,1610.0838553839
"223","20/02/2021","Genoa","Verona",0.5,1574.47833659234,1593.09665816834
"224","20/02/2021","Sassuolo","Bologna",0.5,1642.04809211987,1579.93218412032
"225","21/02/2021","Parma","Udinese",0.5,1515.86794296689,1588.74957062553
"226","21/02/2021","Milan","Inter",0,1788.90327244873,1860.29513887465
"227","21/02/2021","Atalanta","Napoli",1,1797.18294872459,1747.67087706512
"228","21/02/2021","Benevento","Roma",0.5,1565.22603368152,1769.09658789606
"229","22/02/2021","Juventus","Crotone",1,1827.00270814529,1460.64177908155
"230","27/02/2021","Spezia","Parma",0.5,1525.68166719183,1517.9354081679
"231","27/02/2021","Bologna","Lazio",1,1581.70121544628,1753.13595503834
"232","27/02/2021","Verona","Juventus",0.5,1592.56129216117,1829.16732093315
"233","28/02/2021","Sampdoria","Atalanta",0,1603.82961979937,1805.76744595221
"234","28/02/2021","Crotone","Cagliari",0,1458.47716629369,1522.90926735246
"235","28/02/2021","Inter","Genoa",1,1868.26875580075,1575.0137025995
"236","28/02/2021","Udinese","Fiorentina",1,1586.68210542452,1611.0008073364
"237","28/02/2021","Napoli","Benevento",1,1739.0863798375,1570.50183947349
"238","28/02/2021","Roma","Milan",0,1763.82078210408,1780.92965552264
"239","02/03/2021","Juventus","Spezia",1,1823.24558501469,1525.45874887052
"240","03/03/2021","Sassuolo","Napoli",0.5,1640.27906079391,1744.582193686
"241","03/03/2021","Atalanta","Crotone",1,1810.53190261904,1450.3106997151
"242","03/03/2021","Benevento","Verona",0,1565.006025625,1598.48302807963
"243","03/03/2021","Cagliari","Bologna",1,1531.07573393105,1596.27055165801
"244","03/03/2021","Fiorentina","Roma",0,1600.30199967546,1754.312817417
"245","03/03/2021","Genoa","Sampdoria",0.5,1571.89321619525,1599.06516313253
"246","03/03/2021","Milan","Udinese",0.5,1790.43762020972,1597.38091308545
"247","04/03/2021","Parma","Inter",0,1518.1583264892,1871.389242205
"248","06/03/2021","Spezia","Benevento",0.5,1522.4063508364,1555.96660032561
"249","06/03/2021","Udinese","Sassuolo",1,1602.42842938717,1643.19409530858
"250","06/03/2021","Juventus","Lazio",1,1826.29798304881,1738.56661882661
"251","07/03/2021","Roma","Genoa",1,1760.14923226397,1572.67369710963
"252","07/03/2021","Crotone","Torino",1,1448.07691226651,1574.25055277081
"253","07/03/2021","Fiorentina","Parma",0.5,1594.46558482849,1515.8434359363
"254","07/03/2021","Verona","Milan",0,1607.52245337902,1785.39010390801
"255","07/03/2021","Sampdoria","Cagliari",0.5,1598.28468221814,1542.93047351566
"256","07/03/2021","Napoli","Bologna",1,1741.66715917133,1584.4158120734
"257","08/03/2021","Inter","Atalanta",1,1873.7041327579,1812.76569006764
"258","12/03/2021","Lazio","Crotone",1,1731.03939620938,1461.55682934169
"259","12/03/2021","Atalanta","Spezia",1,1804.50187223302,1523.36929941622
"260","13/03/2021","Sassuolo","Verona",1,1632.0261200654,1602.23704018014
"261","13/03/2021","Benevento","Fiorentina",0,1555.00365174579,1592.24050929882
"262","13/03/2021","Genoa","Udinese",0.5,1567.60053292279,1613.59640463035
"263","14/03/2021","Bologna","Sampdoria",1,1578.65619793158,1596.70480509442
"264","14/03/2021","Parma","Roma",1,1518.06851146597,1765.22239645082
"265","14/03/2021","Torino","Inter",0,1560.77063569562,1881.96795059252
"266","14/03/2021","Cagliari","Juventus",0,1544.51035063939,1833.82520566604
"267","14/03/2021","Milan","Napoli",0,1790.67551710689,1747.42677331315
"268","17/03/2021","Torino","Sassuolo",1,1558.05073554877,1641.17081626984
"269","19/03/2021","Parma","Genoa",0,1534.18383887846,1568.91672022096
"270","20/03/2021","Crotone","Bologna",0,1458.05876048839,1589.1752118175
"271","20/03/2021","Spezia","Cagliari",1,1520.06059089949,1541.329662523
"272","21/03/2021","Verona","Atalanta",0,1593.0923439757,1807.81058074975
"273","21/03/2021","Juventus","Benevento",0,1837.00589378244,1546.07132973414
"274","21/03/2021","Sampdoria","Torino",1,1586.1857912085,1570.39850212666
"275","21/03/2021","Udinese","Lazio",0,1612.28021733218,1734.53746506269
"276","21/03/2021","Fiorentina","Milan",0,1601.17283131047,1779.4371080826
"277","21/03/2021","Roma","Napoli",0,1749.10706903832,1758.66518233744
"278","03/04/2021","Milan","Sampdoria",0.5,1784.7136476723,1595.73170898067
"279","03/04/2021","Atalanta","Udinese",1,1812.31317981555,1605.66067617049
"280","03/04/2021","Benevento","Parma",0.5,1562.91550214895,1525.18021456176
"281","03/04/2021","Cagliari","Verona",0,1530.71825300587,1588.58974490989
"282","03/04/2021","Genoa","Fiorentina",0.5,1577.92034453767,1595.89629172078
"283","03/04/2021","Lazio","Spezia",1,1741.15700622437,1530.67200041661
"284","03/04/2021","Napoli","Crotone",1,1768.3901471035,1451.66309066312
"285","03/04/2021","Sassuolo","Roma",0.5,1628.82304969195,1739.38210427226
"286","03/04/2021","Torino","Juventus",0.5,1560.85258435449,1820.16172136763
"287","03/04/2021","Bologna","Inter",0,1595.57088164277,1884.68785073937
"288","07/04/2021","Inter","Sassuolo",1,1887.87158702163,1631.90196575628
"289","07/04/2021","Juventus","Napoli",1,1813.83204758836,1771.17108809235
"290","10/04/2021","Spezia","Crotone",1,1526.08381255155,1448.88214967427
"291","10/04/2021","Parma","Milan",0,1526.26207280307,1779.7540488147
"292","10/04/2021","Udinese","Torino",0,1600.99402155711,1567.18225813376
"293","11/04/2021","Inter","Cagliari",1,1891.59987322445,1522.36869291707
"294","11/04/2021","Juventus","Genoa",1,1822.61030037015,1578.43727271216
"295","11/04/2021","Sampdoria","Napoli",0,1600.69130783826,1762.39283531055
"296","11/04/2021","Verona","Lazio",0,1596.93930499869,1745.74519408944
"297","11/04/2021","Roma","Bologna",1,1736.30318820793,1592.38714536051
"298","11/04/2021","Fiorentina","Atalanta",0,1595.37936354629,1816.97983442893
"299","12/04/2021","Benevento","Sassuolo",0,1561.83364390763,1628.17367955346
"300","17/04/2021","Crotone","Udinese",0,1441.06832935654,1590.02390145202
"301","17/04/2021","Sampdoria","Verona",1,1595.0361759217,1590.97828255468
"302","17/04/2021","Sassuolo","Fiorentina",1,1636.28713142211,1591.01347985847
"303","17/04/2021","Cagliari","Parma",1,1520.23576824598,1522.49033090387
"304","18/04/2021","Milan","Genoa",1,1783.52579071391,1574.49860751148
"305","18/04/2021","Atalanta","Juventus",1,1821.34571811675,1826.54896557083
"306","18/04/2021","Bologna","Spezia",1,1586.30767590845,1533.89763286929
"307","18/04/2021","Lazio","Benevento",1,1751.70621653345,1553.72019203898
"308","18/04/2021","Torino","Roma",1,1578.15237823885,1742.38265765999
"309","18/04/2021","Napoli","Inter",0.5,1768.04796722711,1893.73279789555
"310","20/04/2021","Verona","Fiorentina",0,1581.09507280389,1582.3092345353
"311","21/04/2021","Milan","Sassuolo",0,1788.14371646071,1644.99137674528
"312","21/04/2021","Bologna","Torino",0.5,1594.81053234873,1592.55610254236
"313","21/04/2021","Crotone","Sampdoria",0,1435.11091169315,1604.91938567249
"314","21/04/2021","Genoa","Benevento",0.5,1569.88068176468,1548.87268008413
"315","21/04/2021","Juventus","Parma",1,1816.39921526596,1512.4254402851
"316","21/04/2021","Spezia","Inter",0.5,1525.394776429,1890.26525220673
"317","21/04/2021","Udinese","Cagliari",0,1595.98131911541,1530.30065886475
"318","22/04/2021","Roma","Atalanta",0.5,1727.97893335649,1831.49546842162
"319","22/04/2021","Napoli","Lazio",1,1771.51551291593,1756.5537284883
"320","24/04/2021","Genoa","Spezia",1,1569.27675869739,1533.21354611375
"321","24/04/2021","Parma","Crotone",0,1509.46402635465,1429.64313400873
"322","24/04/2021","Sassuolo","Sampdoria",1,1658.89328875982,1610.3871633569
"323","25/04/2021","Benevento","Udinese",0,1549.47660315143,1584.11308041538
"324","25/04/2021","Fiorentina","Juventus",0.5,1592.27428829377,1819.36062919641
"325","25/04/2021","Inter","Verona",1,1882.44648252198,1571.13001904542
"326","25/04/2021","Cagliari","Roma",1,1542.16889756477,1730.87323794638
"327","25/04/2021","Atalanta","Bologna",1,1828.60116383172,1594.74564555358
"328","26/04/2021","Torino","Napoli",0,1592.62098933751,1781.08514414503
"329","26/04/2021","Lazio","Milan",1,1746.9840972592,1774.24180444617
"330","01/05/2021","Verona","Spezia",0.5,1568.27366503821,1524.24781703576
"331","01/05/2021","Crotone","Inter",0,1441.9009786505,1885.30283652919
"332","01/05/2021","Milan","Benevento",1,1763.45887023683,1540.47023157297
"333","02/05/2021","Lazio","Genoa",1,1757.76703146854,1578.24248777537
"334","02/05/2021","Bologna","Fiorentina",0.5,1590.61573550482,1598.0152201665
"335","02/05/2021","Napoli","Cagliari",0.5,1786.13679082129,1557.12246944434
"336","02/05/2021","Sassuolo","Atalanta",0.5,1667.50617087651,1832.73107388048
"337","02/05/2021","Udinese","Juventus",0,1593.11945199384,1813.61969732368
"338","02/05/2021","Sampdoria","Roma",1,1601.77428124021,1715.91966606681
"339","03/05/2021","Torino","Parma",1,1587.56934266125,1497.20618171289
"340","08/05/2021","Spezia","Napoli",0,1525.50824375082,1780.35877486387
"341","08/05/2021","Udinese","Bologna",0.5,1588.73191486025,1590.82867759881
"342","08/05/2021","Inter","Sampdoria",1,1886.74810963638,1614.94633562702
"343","08/05/2021","Fiorentina","Lazio",1,1597.80227807251,1763.01543897035
"344","09/05/2021","Genoa","Sassuolo",0,1572.99408027356,1671.93294194693
"345","09/05/2021","Benevento","Cagliari",0,1536.13155824704,1562.90048540176
"346","09/05/2021","Parma","Atalanta",0,1489.74994219608,1828.30430281006
"347","09/05/2021","Verona","Torino",0.5,1567.01323832315,1595.02558217807
"348","09/05/2021","Roma","Crotone",1,1702.74761168,1440.45570554331
"349","09/05/2021","Juventus","Milan",0,1818.00723445727,1767.79754356276
"350","11/05/2021","Napoli","Udinese",1,1784.10664094667,1588.79226381042
"351","12/05/2021","Cagliari","Fiorentina",0.5,1572.13153470739,1612.22877740252
"352","12/05/2021","Atalanta","Benevento",1,1830.79782318435,1526.90050894141
"353","12/05/2021","Bologna","Genoa",0,1590.76832864864,1565.76721095817
"354","12/05/2021","Inter","Roma",1,1890.20781296817,1706.36676225887
"355","12/05/2021","Lazio","Parma",1,1748.58893964034,1487.25642182179
"356","12/05/2021","Sampdoria","Spezia",0.5,1611.48663229523,1521.76037766802
"357","12/05/2021","Sassuolo","Juventus",0,1679.15981126233,1806.57206052104
"358","12/05/2021","Torino","Milan",0,1594.22106462545,1779.23271749899
"359","13/05/2021","Crotone","Verona",1,1436.83655496444,1567.81775587576
"360","15/05/2021","Genoa","Atalanta",0,1576.48556150079,1833.7603477313
"361","15/05/2021","Spezia","Torino",1,1524.2869847225,1589.09401082448
"362","15/05/2021","Juventus","Inter",1,1813.06084953067,1895.3606010408
"363","15/05/2021","Roma","Lazio",1,1701.21397418623,1752.22448962008
"364","16/05/2021","Fiorentina","Napoli",0,1611.07978271914,1789.01085814265
"365","16/05/2021","Benevento","Crotone",0.5,1523.93798439445,1450.43749756795
"366","16/05/2021","Udinese","Sampdoria",0,1583.88804661444,1608.96002524075
"367","16/05/2021","Parma","Sassuolo",0,1483.62087184205,1672.67102225269
"368","16/05/2021","Milan","Cagliari",0.5,1784.35977129997,1573.28052939078
"369","17/05/2021","Verona","Bologna",0.5,1554.21681327225,1580.04997810602
"370","18/05/2021","Lazio","Torino",0.5,1740.76674836389,1577.25005104362
"371","22/05/2021","Cagliari","Genoa",0,1578.70442459898,1572.7800110651
"372","22/05/2021","Crotone","Fiorentina",0.5,1452.52200730596,1605.79578915
"373","22/05/2021","Sampdoria","Parma",1,1618.23964571079,1478.58195092368
"374","23/05/2021","Inter","Udinese",1,1883.03515632911,1574.60842614439
"375","23/05/2021","Atalanta","Milan",0,1837.465898167,1778.93587609176
"376","23/05/2021","Bologna","Juventus",0,1579.30780704449,1825.38629424237
"377","23/05/2021","Napoli","Verona",0.5,1794.29485171179,1554.95898433378
"378","23/05/2021","Sassuolo","Lazio",1,1677.70994317106,1736.3795945721
"379","23/05/2021","Spezia","Roma",0.5,1536.13094450335,1712.67171544242
"380","23/05/2021","Torino","Benevento",0.5,1581.63720483541,1521.85347465644
